Sample Name	Protocol REF	Parameter Value[QA Instrument]	Parameter Value[QA Assay]	Extract Name	Protocol REF	Parameter Value[Library Layout]	Parameter Value[Stranded]	Protocol REF	Parameter Value[Sequencing Instrument]	Parameter Value[Read Length]	Unit	Term Source REF	Term Accession Number	Assay Name	Raw Data File	Protocol REF	Parameter Value[differential expression analysis data transformation]
TGB_050_16	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_16	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_17	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_17	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_18	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_18	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_19	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_19	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_20	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_20	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_21	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_21	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_22	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_22	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_050_23	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_050_23	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_01	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_01	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_02	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_02	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_03	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_03	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_04	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_04	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_05	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_05	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_06	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_06	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_07	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_07	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_08	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_08	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_09	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_09	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_10	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_10	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_13	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_13	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_14	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_14	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_15	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_15	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_16	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_16	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_17	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_17	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_18	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_18	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_19	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_19	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_20	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_20	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_21	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_21	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_22	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_22	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_051_23	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_051_23	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_01	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_01	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_02	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_02	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_03	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_03	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_04	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_04	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_05	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_05	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_06	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_06	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_07	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_07	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_08	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_08	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_09	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_09	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_10	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_10	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_11	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_11	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_13	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_13	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_14	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_14	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_15	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_15	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_16	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_16	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_17	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_17	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_18	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_18	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
TGB_052_19	Nucleic Acid Extraction - CD36 plasma fraction	Qubit Fluorometers	Qubit RNA HS Assay	TGB_052_19	Library Construction	PAIRED	STRANDED	Nucleic Acid Sequencing	Illumina NextSeq500	36	base pair	UO	http://purl.obolibrary.org/obo/UO_0000244	rna-seq	Not Available	Sequence Analysis Data Transformation - CD36 plasma fraction	GLDS-530_rna-seq_TGB_063_Input_vs_IP_totalcount_all0removed_scalingnormalized.xlsx
